,Department,Team,Job Role,Bash/Shell,Python,Go,JavaScript,C#,Clojure,Scala,SQL,HTML,CSS,Julia,Java,R,Ruby,PHP,Matlab,Perl,Fortran,TensorFlow,React,Torch/PyTorch,Node.js,.NET Core,Spark,Spring,Django,Angular,Hadoop,Xamarin,Cordova,Redis,PostgreSQL,Elasticsearch,Amazon RDS/Aurora,MongoDB,MariaDB,SQL Server,Amazon DynamoDB,MySQL,SQLite,Cassandra,Apache Hive,Amazon Redshift,Apache HBase,Memcached,Oracle,Visual Studio Code,Visual Studio,Notepad++,Sublime Text,IntelliJ,Vim,Eclipse,Atom,PyCharm,NetBeans,IPython,Jupyter,Emacs,RStudio,Linux,Serverless,VMware,AWS,Docker,Windows Desktop or Server,Mainframe
63,technology,cloudops,technical lead,10,0,0,6,0,0,0,3,7,5,0,4,0,0,0,0,4,1,1,0,0,4,0,0,4,1,3,0,0,0,2,3,1,1,0,1,0,1,4,3,0,0,0,0,0,0,3,1,3,1,2,4,1,0,1,2,0,0,1,0,7,2,1,5,4,3,0
64,technology,infrastructure and operations,it practitioner,12,2,0,5,1,0,1,1,8,3,0,6,0,1,0,0,1,3,0,2,1,2,1,0,3,0,2,0,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,1,0,0,1,1,2,3,6,1,1,2,1,2,1,0,0,6,3,1,3,3,3,0
65,technology,nan,technical lead,10,0,0,6,0,0,0,3,7,5,0,4,0,0,0,0,4,1,1,0,0,4,0,0,4,1,3,0,0,0,2,3,1,1,0,1,0,1,4,3,0,0,0,0,0,0,3,1,3,1,2,4,1,0,1,2,0,0,1,0,7,2,1,5,4,3,0
66,technology,technology and information service,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
67,technology,platforms,intern/placement/apprentice,5,0,0,4,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,2,1,2,4,1,0,1,2,0,1,1,0,1,0,0,1,2,0,1,0,2,0
68,technology,solutions delivery,technology architect,1,0,0,2,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,1,0,1,0,2,0
69,technology,solutions delivery,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
70,technology,infrastructure and operations,intern/placement/apprentice,5,0,0,4,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,2,1,2,4,1,0,1,2,0,1,1,0,1,0,0,1,2,0,1,0,2,0
71,technology,technology and information service,software developer,16,0,0,11,0,1,1,3,15,10,0,14,0,0,0,0,1,2,0,0,0,8,0,0,12,0,4,0,0,0,1,2,0,0,3,0,0,1,6,3,0,0,0,0,0,2,5,2,5,1,6,2,1,1,2,0,0,2,0,0,8,2,2,5,3,5,0
72,science,atmostpheric science,engineer,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,technology,platforms,technical lead,10,0,0,6,0,0,0,3,7,5,0,4,0,0,0,0,4,1,1,0,0,4,0,0,4,1,3,0,0,0,2,3,1,1,0,1,0,1,4,3,0,0,0,0,0,0,3,1,3,1,2,4,1,0,1,2,0,0,1,0,7,2,1,5,4,3,0
74,technology,technology and information service,front end developer,3,0,0,3,0,0,0,2,3,3,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,1,3,0,0,0,0,1,0,0,2,0,0,1,2,2,0,1,0,0,0,1,2,2,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0
75,technology,technology and information service,intern/placement/apprentice,5,0,0,4,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,2,1,2,4,1,0,1,2,0,1,1,0,1,0,0,1,2,0,1,0,2,0
